company,name,year,TA,size,liquid_ratio,Operating_Expense_Ratio,Cash_Flow_Ratio,GDP,PAC,underwriting_revenue,brokerage_revenue,netprofit_growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6024,群益期貨,2008,8341855,16,114.31,37.46,3.7,-1.61,0,0,750580,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026000,富邦期貨,2008,5504260,16,121.36,34.55,1.76,-1.61,0,0,369280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31872,元大期貨,2008,13026842,16,119.01,38.61,7.58,-1.61,0,0,1083524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869,元富期貨,2008,5051161,15,120.8,28.84,3.04,-1.61,0,0,510214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000980,元大證券,2009,85588960,18,212.38,64.3,25.93,-1.61,0,275002,9101102,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,凱基證券,2009,150769293,19,141.15,61.14,8.64,-1.61,0,131379,6320066,24.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016,康和證券,2009,19938688,17,143.66,65.66,28.34,-1.61,0,1215,1536024,206.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000960,富邦證券,2009,53395531,18,218.34,56.48,24.89,-1.61,0,182769,4589969,100.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000884,玉山證券,2009,5906309,16,203.41,66.2,39.47,-1.61,0,2625,556638,559.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000616,中信證券,2009,7373293,16,508.79,55.79,60.42,-1.61,0,37926,296736,193.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,群益證券,2009,56927405,18,139.04,44.3,20.26,-1.61,0,148279,3862822,145.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000815,台新證券,2009,1077630,14,"17,004.06",134.28,"2,966.40",-1.61,0,661,18523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000116,日盛證券,2009,42098884,18,172.91,55.59,31.92,-1.61,0,54985,4093884,270.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000888,國泰證券,2009,7600897,16,201.23,60.73,43.09,,0,42378,442149,404.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000930,華南永昌證券,2009,25006647,17,159.37,56.71,25.69,,0,30895,2146562,558.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009A0,永豐金證券,2009,63472934,18,144.13,50.38,23.35,-1.61,1,435666,4013613,338.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000885,鑫豐證券,2009,285532,13,466.2,122.91,62.24,-1.61,1,181,51701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000779,國票證券,2009,27065938,17,137.78,63.84,39.7,-1.61,0,13805,1835736,"2,339.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
